"5W_embryo1" "7W_embryo1" "8W_embryo1" "10W_embryo1" "12W_embryo1" "14W_embryo1" "18W_embryo1" "18W_embryo2" "20W_embryo1" "20W_embryo2" "23W_embryo1" "23W_embryo2" "24W_embryo1" "24W_embryo2" "26W_embryo1"
"AMOTL2" 0.358684334289508 0.226592377089495 0.179921422720931 0.405790405921079 0.201236732291237 0.254323268671228 0.523690836219242 0.727282895187874 0.362084630496236 0.473252403276975 0.226304234739955 0.19989664802527 0.334440871361411 0.413202179157661 0.379920790221742
"ANG" 1.13007575546722 0.168347818011049 0.105459213370707 0.0223494276281429 0.142365847370463 0.258555759385263 0 1.73169174442041 0.482222746419803 1.14722649518397 0.012226923986131 0.02145756120612 0 0.6709977186427 0
"ANHX" 0.1136848817614 0.254783202501311 0.255766473282125 0.571605129217926 0.724266269894982 0.623487039986723 0.862891320809811 0.343737673188925 0.600259790573687 0.490125045605859 1.04997036314882 0.694152954716112 0.431266348697131 0.424587902137269 0.563737763011542
"ANK3" 0.259722022617037 0.179856166411445 0.197878824284692 0.445481855598182 0.198118885259237 0.43351696650227 0.565624794941728 0.484049295076162 0.299598002939034 0.65268722740578 0.36484300170994 0.471057523276008 0.473955464731895 0.579402169416574 0.470918560608305
"ANKH" 0.185031028688942 0.179581257355681 0.199294896755762 0.267716517042981 0.241219925381411 0.316580520786223 0.625914416042124 0.332799369255467 0.604191732720065 0.414855193346661 0.377555780330281 0.318757313387123 0.461217450678863 0.394913031376369 0.291066717947234
"ANKRD20A5P" 0.316981251154492 0.297678327363761 0.224674413532616 0.387116667291082 0.267210384248897 0.196487986394524 0.666438180454221 0.065580913370003 0.549955246485776 0.352796900151793 0.0781392226253624 0.032160887598281 0.236680589898209 0.196021129912039 0.360521902151094
"ANKRD62" 0.259623264353364 0.302572549916706 0.0114837031807665 0.391550015496704 0.340644615666292 0.329820932594451 0.911453092056185 0.30725944450112 0.34483816979936 0.474357181687573 0.651422055415564 0.585804970684065 1.29615276133228 0.460340685837269 0
"ANKRD7" 0.302756146793332 0.219445136157625 0.345797377680593 0.483165150651377 0.278729907222611 0.346233005842347 0.456905309575493 0.408922458865931 0.473965232212396 0.649819751384612 0.804191304234163 0.779642846447971 0.362176986661089 0.492875483328978 0.507259655959954
"ANKS1A" 0.330610674429616 0.314902034099701 0.252443891891252 0.393797011987321 0.245409598665537 0.393382411764562 0.590441212546793 0.435596293772834 0.26076857772374 0.453709894869368 0.302576162911914 0.367174301503298 0.496195208627756 0.373133662373653 0.519931618298129
"ANKS1B" 0.0619772346134609 0 0 0 0 0.383088606261213 0.729114945310044 0.652020826045185 1.17865138871484 0.343431297120323 0.107991581276302 0.359198525966673 0.426666936238481 0.156789013491876 1.36764391700586
"ANP32B" 1.27922812794809 1.31052463372011 1.29142861437318 1.13613217643844 1.5566169875521 1.41135194887936 1.37883542957565 1.2430530171917 1.07794438646725 1.25412684725127 1.65240665630664 1.5541111304913 1.13945516177162 1.28755811998598 1.31940758078733
"ANTXR1" 0.365829647321137 0.249416194293566 0.0340100678092077 0.453865374538074 0.180748024378851 0.27756869902929 0.0789047265719833 0.829259894215154 0.655590138894225 0.726469867312027 0.176247805857035 0.279685741064216 0.360185694333752 0.305406090490119 0
"ANXA1" 0.443911455353913 0 0 0 0.0326141870291721 0.199180193387969 1.60198802231838 1.4474611622574 1.11099285031729 0.507922475403681 0.0146011833725107 0.767459107303718 0.222124643048986 0.614175974731867 0.788253416273517
"ANXA2" 1.25227081973786 0.865390537566045 0.684343340146282 0.959555168826622 0.639860141472251 0.931307709498474 1.19252831247105 1.18386494203585 1.02232349359694 0.865851505746304 1.50347329090542 1.24130308247688 0.987975765503665 1.06681922506819 0.921698474721932
"ANXA4" 0.244111153529234 0.428356802409628 0.248640969365261 0.390937925282271 0.304904450890982 0.360250675870363 0.717530225839615 0.90999289319387 0.918095630139391 0.459951855771018 0.197823341088628 0.511457919458617 0.390156525016667 0.50309523144179 0.426959384697921
"ANXA5" 1.21483933229434 1.17693990437099 1.10186503915855 1.17492938203739 0.994377578244766 1.24577697124445 1.14963669673259 1.37816502336112 1.18664171127359 1.1965783146382 0.789011453835935 0.834982741506686 1.18844718887022 1.1150311482771 1.55045045451414
"AP1S2" 0.436738416459456 0.304042275785069 0.155322549596423 0.507183363270588 0.36385147986309 0.449680948184647 0.117574807559903 0.605407162844937 0.825512567428673 0.750658100684209 0.166390565813958 0.322348306953558 0.456546919525252 0.397102641608052 0.617646556804826
"APBB3" 0.235863527545915 0.243012974645032 0.195566659085431 0.158650646229468 0.235629799418862 0.263691885413989 0.0287941321590808 0.261492999622807 0.396791172846781 0.342149667340217 0.298840500181419 0.27870557886481 0.384098446677903 0.207044845322696 0.479940022902234
"APOBEC3C" 0.643608949062796 0.750646569207007 0.483434711108888 0.647105412776123 0.295706565706647 0.464788166288654 0.203592314575617 0.596189489993714 0.939777272956939 0.956774091479803 0.188579357308625 0.970782973165754 0 0.527360478994305 1.06446183558052
