"5W_embryo1" "7W_embryo1" "8W_embryo1" "10W_embryo1" "12W_embryo1" "14W_embryo1" "18W_embryo1" "18W_embryo2" "20W_embryo1" "20W_embryo2" "23W_embryo1" "23W_embryo2" "24W_embryo1" "24W_embryo2" "26W_embryo1"
"ANHX" 0 0 0 0 1.47597496545615 0.189155642986295 0.435803467018082 0.26853838064379 0.400289545679294 0.376221953557114 0.436433736468691 0.262168657876143 0.641939196895517 0.0967214426701485 0.0484332310109182
"ANK3" 0 1.16771082242661 0 0.198110429623289 0 0.475775454247479 1.40539690777444 0.722642951818878 0.602570684995158 0.869444484338145 0.89309124982299 0.877054203440318 0.543341659592373 0.135692327639748 0.691324372860665
"ANKH" 0 0.173883416775034 0.0245194315735044 0.479743559055945 0.31845368748217 0.421185026814071 0.263703630681555 0.698276026376911 0.541838074136204 0.403761431637665 0.459979001374159 0.652423301709913 0.976519306029051 0.717822099028538 0.653201170036847
"ANKRD20A5P" 0 1.07783393752576 0 1.49137464195096 0 0.0831894506280585 0.151487659822113 1.12455855409299 0.304986159189534 0.0771757699602422 0.275938828413067 0.114243062628174 0 0.309676608937801 0.210109383425771
"ANKRD62" 0 0 0 0 0 0.419648621998339 0 0.446090294844684 1.06871137402124 0.934562328414248 0.752215593375698 1.00123443733359 1.3909469683156 0.535404933480646 0.0973757507463782
"ANKRD7" 0 0 0 0 0 0.199296090562113 0.181711941180369 0.794121724081409 0.703240685134579 0.45499730227644 1.14882457669108 0.889356370863847 0.733285527873261 0.72374336277207 0.597679563726437
"ANKS1A" 0 0.403863466901533 0 0.63945694855383 0.559672860583319 0.64930566032743 0.836703764996249 0.753399443931582 0.606583039474953 0.555583456062952 0.433631275601075 0.2912748172055 0.835844263908755 0.732478884451653 0
"ANKS1B" 0 0 0 1.79817765681562 0 0.398305522518592 1.17675784176955 1.02228254734794 0.824004433788474 0.777617691019838 0.482234326818523 1.00860499930228 0.166803479750288 0.630501477125738 0.975352109266798
"ANP32B" 1.0641142627958 1.22325441826183 1.19253849972874 1.42152060152678 1.38636923830452 1.35516980869939 1.09975725383349 1.19686923353926 1.42048074362847 1.31983610456207 1.02129941115892 1.07543359150169 0.973412405949434 1.15013987210276 1.40299374306671
"ANTXR1" 0 0.707953599846136 0 0.982491011175565 0 0.480085766820248 0.650729983495772 0.829510999475187 0.630078881230923 0.98732575119579 0.639656343541353 0.653565974868567 0.808495104692474 0.813125066671581 0.641675042559519
"ANXA1" 0.992627066385662 0 0 0 0 0.374334017397723 1.81396038255768 1.0001246139721 1.0946584183955 0.91972815332864 1.0279978294763 1.16785189116173 1.37374544965497 0.929408828165041 1.14647099909865
"ANXA2" 1.76437563141891 0.844144309682575 0.891866512875009 0.906756812885405 0 0.484016223510116 1.36623424311952 1.09492791470496 1.1117980318571 1.21829334242398 0.826724382604256 0.620225241807934 1.57671106183879 1.02237254985919 1.41214500032857
"ANXA4" 0 1.03166472966397 1.09734093653694 0.827143297573184 0 0.648134521832939 1.12756068147098 0.835132443270352 0.672349414316941 0.98014458988697 0.936153437911865 0.954215321058241 1.46742069423642 1.35023868458071 1.20420259268265
"ANXA5" 0.813013536689051 1.35383103777266 1.56433546736572 1.43784779984929 2.22470989156687 1.9132787329079 2.35436918806899 2.2698979337449 1.5930580268653 1.75219848677869 1.90617813987049 1.92745107929807 2.21927847185927 1.63450519539869 1.86706500149575
"AP1S2" 0 0.679643940242743 0.59163596008156 0.888935872277143 0.559672860583319 0.9562023747829 1.21851326377478 1.27887269142577 0.991243982829578 1.3947476121346 0.91272332850912 1.1290468765268 1.13211144131697 0.766002179239065 1.00595096484624
"APBB3" 0 0.586054344800585 0 0.407264463624162 0 0.280708638354072 0.590509430336233 0.356030437201829 0.487972058888619 0.538599694029759 0.520216681953474 0.296032923825228 0.389297453740546 1.03851548500036 1.2938060284084
"APOBEC3C" 0.650543013260499 1.76711509375377 0.138835451545754 1.63633070618841 0 1.01969458627909 1.73334341203969 1.14262080958595 0.982051855939805 0.822989901053989 1.13653866228767 1.14426006979932 0.843205454434818 0.972564674262273 0.919177760336909
"APOC1" 0.442417704227668 0.0320349898903932 0.564105843551786 0.618922038159348 0 0.36062841442436 0.664663722159474 0.563876341643562 0.728113352108843 0.565926956764853 0.625790575016917 0.376122349087287 0.487747615802556 0.311574011046774 1.15351094047499
"APOE" 0.913673865223171 0.499435214130833 0.20121996643035 0.18819470852241 0 0.171137880662256 1.33107114643731 1.00589223486188 0.707430975859569 0.916703471250559 0.653873072204843 0.448460058173373 0.848058592630618 0.619223646766566 0.996793085864213
"APOLD1" 0.239168945935658 0.182612786959799 0 1.4427873351432 0 0.594873169193288 0.358857727738313 0.771388707397448 0.402450820801296 0.638844776518472 0.517695749133362 0.267933074647836 0.0798487237337678 0.627818429738505 0.878139305799345
"ARHGAP18" 0.246890311370257 1.02453469652493 0 1.02377455404196 0 0.624709020300573 1.06075439525579 0.981146203164127 1.19501533493445 1.10443800974747 0.798308083091955 0.663220113008452 1.62639555426321 0.804439080952269 1.14682923698682
"ARHGAP26" 0 1.68144360386583 1.470529484964 0.476633042072942 0 0.376937152332198 1.20047765418376 0.640212967763607 0.516277028058714 0.623746063533684 0.353485036184902 0.657295503659111 1.11556633639124 0.215289030528267 0.593373369147654
"ARHGDIB" 0.0379002339387759 0.70339978879895 0 0 0 0.180641132736214 0.0677553527086548 0.0523736193620675 0.550805984723859 0.73212790301853 0.78435812038676 0 1.059767133362 0.218404585858731 1.41446319433302
"ARHGEF10" 0 0.35791450252752 0 0.475347381558335 0 0.241557316198744 0.655828233043194 0.563110964160104 0.990718394937538 0.970168336150309 1.09187881666778 0.504280032562466 0.429365416779369 0.464014393619618 0.343869897611876
"ARHGEF28" 1.00684102930948 0.410567200285668 0 0.261256071671939 0 0.311174155777049 0.305029788567432 0.812232273893263 0.659801023877673 0.634721923692819 0.678674686180504 0.589991935963986 0.899741078796088 1.02671835095847 1.35098328452905
"ARL17A" 0.10955617856532 0.596845200167355 0 0.642432284536548 0 0.156082262441707 0.701006010255391 0.237408600743016 0.279392054552897 0.323463581794095 0.177255721063331 0.305902774830572 0.299161326850916 0.262921006855143 0.37097856684177
"ARL4A" 0.721270943190396 1.69443251321788 2.42725665574695 1.71654187625343 1.05612213269545 0.845184008571573 1.41319808236805 1.22229037820606 0.979486865064707 1.07376614170028 0.750343863372086 0.870387664404746 0.754177307559553 0.918070708018435 0.958352241015084
"ARL4C" 1.34971893205583 0.137103752685714 1.17382046935378 0.741148651080729 0 0.516334891770819 0.589127994027463 1.19905709734355 0.842821617627826 0.547664637421043 0.655237959520707 0.416025273303179 0.856150563383086 0.397874859722491 1.38828774576051
